amfi_code,alpha,beta,r_squared,p_value
100016,-0.08969879640543667,0.7884407334841194,0.020055637211284602,1.4392333927925117e-06
100025,0.03319866074294831,0.06071304883828609,0.00165036645984516,0.16878422899133116
100033,0.11442300096849983,0.9915895273399903,0.01872266898751571,3.239769982491752e-06
101206,0.09744276980996124,0.7370150749441956,0.017476448337761734,6.9247372994001255e-06
101207,-0.350741224316911,2.878184074941201,0.08499646561787848,6.016512124766572e-24
101208,0.06103184313333541,-0.0010198340079364255,2.7689867961551602e-05,0.858584340334086
102885,0.07188210134066052,0.616292265757131,0.01573926647266865,2.0007313463852856e-05
102886,-0.1156784482249716,0.9014414037954364,0.016872256484496615,1.0012137052244604e-05
102887,0.024546563427794356,0.8682864578367643,0.020730827124717598,9.545234154674284e-07
118632,0.057106039669331844,1.0119847058962184,0.0349340678321432,1.7139216095400815e-10
118633,0.04422646866006804,0.698535228576799,0.017006166826740866,9.226267642577576e-06
118634,-0.17834516605752668,2.2420162446678207,0.053871548758876106,1.6120013049305884e-15
118635,0.051794875476774874,0.6258420867428847,0.015866523489490424,1.8509306520898583e-05
118636,0.03495242125822959,0.09956905729843597,0.0042617487241977375,0.026910601499887075
119092,-0.11501872716299394,1.1590213318629512,0.04713095694699566,1.0083906500869633e-13
119093,-0.07811528136608588,1.0139262119982861,0.03590100580963369,9.520241978947754e-11
119094,0.016867230962721143,1.5208964816027537,0.04193631200910503,2.4110263063578406e-12
119095,-0.30562434612444767,2.210849075685048,0.053117913516912675,2.5624011511638015e-15
119120,0.04251454061462543,0.08487388027964796,0.003125525527619155,0.0581622708758778
119551,0.14151304739808196,0.5629308778564811,0.011459324359003412,0.00027786879754152015
119552,0.06197305331497187,0.8546331906290228,0.025667664771701505,4.759695529707189e-08
119598,-0.08812721951686422,2.457368834340668,0.0652383766179853,1.4338596158339318e-18
119599,-0.2736242233843516,2.0396541449883596,0.04563316593774209,2.521131278260802e-13
120503,0.028728935886037768,0.9247921208111869,0.030293165170187736,2.87301649032291e-09
120504,0.11599437019255476,0.6065291576079516,0.012175276556196537,0.00017852236632517654
120505,0.10264725537819633,1.1948147642957914,0.026194309132993074,3.4575104813846226e-08
120506,0.018469334050126286,0.9140588874598818,0.02459416525466811,9.132045515659006e-08
120507,0.06836000378313713,-0.00573220001538792,0.0009197195263621816,0.30437123263594634
120841,0.020996230009682287,0.6951836824355574,0.018204430547442935,4.4426290901358665e-06
120842,-0.09246402314999563,1.0757046552738516,0.024674565591705687,8.697042263719287e-08
120843,0.10264488235821478,1.0687458558332728,0.030901447596518784,1.985879079407746e-09
120844,0.06624144385499518,-0.010671268007490773,0.0029510303006082977,0.06565826677344748
125497,0.03371692785650557,0.9123261794104112,0.02641314641602149,3.0274920736512736e-08
125498,-0.09849952597540404,1.3750608967383795,0.03833272547545158,2.1677485949391726e-11
148567,0.18196793619353321,0.5571340440928766,0.010520605338586866,0.0004972959332889652
148568,0.07904245498406462,0.8104117143433328,0.018838257133245072,3.0195334346333206e-06
148569,0.09647297419056049,1.1745863251691928,0.03015871561828684,3.1173507415177025e-09
149322,-0.01926372581370453,0.9487248528073087,0.02983019864814907,3.805356330721912e-09
149323,0.0877233876061248,1.1204823921524782,0.02722164134987407,1.8534757915059505e-08
149324,-0.05127804562304292,2.2148038342368386,0.054284166442921125,1.250584670808634e-15
