amfi_code,scheme_name,category,amc_name,cagr_1yr,cagr_3yr,cagr_5yr,mean_daily_return,volatility_ann,sharpe_ratio,sortino_ratio,max_drawdown,dd_peak_date,dd_trough_date,alpha,beta,r_squared,p_value,expense_ratio,rank_3yr,rank_sharpe,rank_alpha,rank_expense,rank_max_dd,composite_score
119551,SBI Bluechip Fund - Regular Plan - Growth,Equity,SBI Mutual Fund,0.6048929711840034,0.3044861306002782,0.25804686425584,0.0009167982325947294,0.13741434141879644,1.2082665673727175,1.2669076892525242,-0.1501238549864533,2023-08-24,2024-02-05,0.14151304739808196,0.5629308778564811,0.011459324359003412,0.00027786879754152015,0.7368437102970629,87.5,92.5,97.5,65.0,57.49999999999999,84.375
148567,Mirae Asset Large Cap Fund - Regular - Growth,Equity,Mirae Asset MF,0.2037595706234765,0.33991970400445304,0.3097410750185903,0.001073675403449081,0.14193706754620355,1.448291170326259,1.4789080433970605,-0.11265729075028275,2023-07-11,2023-10-20,0.18196793619353321,0.5571340440928766,0.010520605338586866,0.0004972959332889652,1.748448049611839,97.5,100.0,100.0,2.500000000000002,80.0,82.625
120504,ICICI Pru Bluechip Fund - Direct - Growth,Equity,ICICI Prudential MF,0.13073788394478303,0.32478927222623,0.2329511862010305,0.0008430464116382315,0.14363780566736664,1.0265242847993,1.0571356058214412,-0.12588275606922517,2022-10-04,2023-05-30,0.11599437019255476,0.6065291576079516,0.012175276556196537,0.00017852236632517654,0.9841049763255538,95.0,77.5,95.0,44.99999999999999,70.0,80.625
120843,Kotak Flexicap Fund - Regular - Growth,Equity,Kotak Mahindra MF,0.2667758391882715,0.2957511058901836,0.3090745475400549,0.001081754914045031,0.1588698652360926,1.3067439695428407,1.4050064168859746,-0.1297396816518679,2022-03-07,2022-04-13,0.10264488235821478,1.0687458558332728,0.030901447596518784,1.985879079407746e-09,1.2113172778521575,85.0,97.5,87.5,30.000000000000004,67.5,78.625
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Equity,Mirae Asset MF,0.3978380253854239,0.2917135767741186,0.3194952310833252,0.0011240540293206527,0.17674006691346697,1.2349300257743294,1.316805290938764,-0.1639674294693263,2023-08-10,2023-10-20,0.09647297419056049,1.1745863251691928,0.03015871561828684,3.1173507415177025e-09,0.756920653760056,82.5,95.0,82.5,57.49999999999999,47.5,78.375
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,Equity,HDFC Mutual Fund,0.5327719549540499,0.3243397122906222,0.3012315310072722,0.0010798038431409668,0.18936710835214157,1.0936987435346313,1.1365843159147333,-0.16217208574644848,2022-03-11,2022-05-12,0.11442300096849983,0.9915895273399903,0.01872266898751571,3.239769982491752e-06,1.3979909127171077,92.5,85.0,92.5,19.999999999999996,50.0,75.5
101206,ABSL Frontline Equity Fund - Regular - Growth,Equity,Aditya Birla Sun Life MF,0.4796379447633372,0.28960211096593724,0.2353836133468803,0.0008517723174694551,0.14568212847454318,1.0272133278753701,1.0838470302399759,-0.11291596329323073,2023-04-24,2023-07-05,0.09744276980996124,0.7370150749441956,0.017476448337761734,6.9247372994001255e-06,1.197987726295555,80.0,80.0,85.0,35.0,77.5,74.0
120505,ICICI Pru Midcap Fund - Regular - Growth,Equity,ICICI Prudential MF,0.29627681171526876,0.3176924285223732,0.3282740607461121,0.0011613203372383767,0.19290949406318195,1.1801011976606495,1.2432152371217533,-0.18188513572116294,2024-10-24,2025-01-23,0.10264725537819633,1.1948147642957914,0.026194309132993074,3.4575104813846226e-08,1.4777639420895203,90.0,90.0,90.0,17.500000000000004,37.5,73.875
102885,UTI Nifty 50 Index Fund - Regular - Growth,Equity,UTI Mutual Fund,0.20222858595384663,0.19662361245910964,0.18232378887705947,0.0006741587522893979,0.12836628397860564,0.8170993373494366,0.8521237437417818,-0.1085986215250232,2022-02-03,2022-03-29,0.07188210134066052,0.616292265757131,0.01573926647266865,2.0007313463852856e-05,0.3871254182522992,57.49999999999999,62.5,75.0,92.5,82.5,70.0
149323,DSP Midcap Fund - Regular - Growth,Equity,DSP Mutual Fund,0.21497414349538224,0.26863103668817145,0.29581086910433996,0.0010551910655344048,0.17746159397550848,1.132121852474724,1.151045397458315,-0.17248105753451382,2022-06-06,2022-10-24,0.0877233876061248,1.1204823921524782,0.02722164134987407,1.8534757915059505e-08,1.3263495397682354,75.0,87.5,80.0,25.0,44.99999999999999,68.625
119094,Axis Midcap Fund - Regular - Growth,Equity,Axis Mutual Fund,0.22277897154308546,0.35102527889035406,0.2821441719365203,0.0010266978562569042,0.19407117423334716,0.9982309868636414,1.0620372740359654,-0.20960883862039192,2022-04-14,2022-08-11,0.016867230962721143,1.5208964816027537,0.04193631200910503,2.4110263063578406e-12,0.7563633644393066,100.0,75.0,35.0,60.0,30.000000000000004,67.75
118633,Nippon India Large Cap Fund - Direct - Growth,Equity,Nippon India MF,0.25559539940517384,0.21084691029380598,0.16274217354504272,0.0006163137445172902,0.13997213649186166,0.6452074382933211,0.6875631416078061,-0.18629743138595511,2023-10-30,2024-02-29,0.04422646866006804,0.698535228576799,0.017006166826740866,9.226267642577576e-06,0.33087674144370366,65.0,50.0,57.49999999999999,97.5,35.0,61.625
118632,Nippon India Large Cap Fund - Regular - Growth,Equity,Nippon India MF,0.340078958236512,0.22646647456747715,0.24049492662391758,0.0008652259973214283,0.14148352294996663,1.0816591793457038,1.1233032308077977,-0.17414075086657232,2024-01-02,2024-07-19,0.057106039669331844,1.0119847058962184,0.0349340678321432,1.7139216095400815e-10,1.3621088666940682,67.5,82.5,62.5,22.499999999999996,42.50000000000001,61.0
125497,HDFC Top 100 Fund - Direct Plan - Growth,Equity,HDFC Mutual Fund,0.286975804558778,0.18429918008610047,0.19017795344711463,0.0007095223731125696,0.1466886675239951,0.7757902498211211,0.8066146656871676,-0.15200013055606398,2023-12-22,2025-01-01,0.03371692785650557,0.9123261794104112,0.02641314641602149,3.0274920736512736e-08,0.39757738947791926,55.00000000000001,57.49999999999999,50.0,90.0,55.00000000000001,59.875
119598,SBI Small Cap Fund - Regular Plan - Growth,Equity,SBI Mutual Fund,0.8285157468100046,0.2666309129954312,0.32423536152454613,0.0012010157369980656,0.2514057862438468,0.9453082575156091,0.9910283971867304,-0.2870600572176455,2024-08-28,2025-05-14,-0.08812721951686422,2.457368834340668,0.0652383766179853,1.4338596158339318e-18,0.5092407909780627,72.5,67.5,25.0,85.0,9.999999999999998,57.375
119552,SBI Bluechip Fund - Direct Plan - Growth,Equity,SBI Mutual Fund,0.057101178520777784,0.16263375081360643,0.21524235873769704,0.0007852425930349881,0.13939367612717515,0.9532794968660094,0.9959479774830156,-0.11803493502764295,2024-05-21,2024-09-02,0.06197305331497187,0.8546331906290228,0.025667664771701505,4.759695529707189e-08,1.2177793420835692,45.0,72.5,67.5,27.500000000000004,72.5,56.5
149324,DSP Small Cap Fund - Regular - Growth,Equity,DSP Mutual Fund,0.6519546577826334,0.2699350260734621,0.3228744045157361,0.0011941715475284602,0.24840205005242103,0.9497958246616028,0.9890089860276655,-0.31171900300634214,2024-05-03,2025-01-03,-0.05127804562304292,2.2148038342368386,0.054284166442921125,1.250584670808634e-15,0.9602287406094019,77.5,70.0,30.0,47.5,7.499999999999996,54.625
118635,Nippon India ETF Nifty 50 BeES,Equity,Nippon India MF,0.22510248103762276,0.2000321571698329,0.15957231179671738,0.000600473969875538,0.12983158874316314,0.6648569985490614,0.6947082960082439,-0.1165062450540909,2022-01-03,2022-06-09,0.051794875476774874,0.6258420867428847,0.015866523489490424,1.8509306520898583e-05,1.5486639612006325,60.0,55.00000000000001,60.0,12.5,75.0,53.125
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Equity,Mirae Asset MF,0.14279834500870736,0.14744434832760533,0.2251686900711385,0.0008250722735460028,0.15429144469823297,0.9262873467360146,0.9652053461309537,-0.1527259422823477,2023-09-05,2024-01-24,0.07904245498406462,0.8104117143433328,0.018838257133245072,3.0195334346333206e-06,1.5125960221746917,42.5,65.0,77.5,15.000000000000002,52.5,52.0
120507,ICICI Pru Liquid Fund - Regular - Growth,Debt,ICICI Prudential MF,0.07430320855847317,0.07392538786263403,0.07237539728384412,0.0002676525413793258,0.004939126259512014,0.4957233929533125,0.6862570972744761,-0.0009773140045925555,2025-10-16,2025-10-20,0.06836000378313713,-0.00573220001538792,0.0009197195263621816,0.30437123263594634,1.0713516576204174,30.0,45.0,72.5,42.50000000000001,97.5,50.875
120503,ICICI Pru Bluechip Fund - Regular - Growth,Equity,ICICI Prudential MF,0.08495135972254553,0.13974980348212673,0.18785325598262204,0.000697595408431375,0.1388443751311978,0.7979728586052853,0.8299114538127741,-0.13897862823061635,2023-09-19,2023-11-09,0.028728935886037768,0.9247921208111869,0.030293165170187736,2.87301649032291e-09,0.8495427649405376,40.0,60.0,45.0,55.00000000000001,65.0,50.75
149322,DSP Top 100 Equity Fund - Regular - Growth,Equity,DSP Mutual Fund,0.1812461925339035,0.1803973982038829,0.13393275924001857,0.0005222511308194414,0.14353859818510517,0.46403744922047724,0.47027368855814644,-0.14844576917771746,2022-01-03,2022-02-04,-0.01926372581370453,0.9487248528073087,0.02983019864814907,3.805356330721912e-09,0.4465081710095758,50.0,40.0,32.5,87.5,60.0,50.625
120506,ICICI Pru Value Discovery Fund - Regular - Growth,Equity,ICICI Prudential MF,0.4185299002066023,0.18417429266835228,0.1708486725575018,0.0006501094769466271,0.1523051637967306,0.6488787755249535,0.6699322570603488,-0.1982565826298267,2023-03-31,2023-08-14,0.018469334050126286,0.9140588874598818,0.02459416525466811,9.132045515659006e-08,0.5995106732375396,52.5,52.5,37.5,70.0,32.49999999999999,50.125
102887,UTI Flexi Cap Fund - Regular - Growth,Equity,UTI Mutual Fund,0.1359304393755194,0.25549670172502026,0.16841120247307528,0.000645340694310669,0.15758366917913,0.6195175900829826,0.6537724769355076,-0.21539827112383225,2022-01-03,2022-07-04,0.024546563427794356,0.8682864578367643,0.020730827124717598,9.545234154674284e-07,1.201672517614813,70.0,47.5,42.5,32.49999999999999,25.0,48.75
120844,Kotak Liquid Fund - Regular - Growth,Debt,Kotak Mahindra MF,0.07125369741102916,0.06694394239074852,0.06915272985067156,0.0002561287499929851,0.0051331704873711385,-0.08874729621557328,-0.1253263382412564,-0.0011629327956168556,2024-04-12,2024-04-30,0.06624144385499518,-0.010671268007490773,0.0029510303006082977,0.06565826677344748,0.5557861855309373,27.500000000000004,17.5,70.0,77.5,95.0,47.75
119093,Axis Bluechip Fund - Direct - Growth,Equity,Axis Mutual Fund,0.19781538524100495,0.20811559826631898,0.07897557854375958,0.00032985864437101356,0.13983295593638864,0.12961449795669316,0.13111347432629347,-0.21751396370148224,2022-02-24,2023-05-22,-0.07811528136608588,1.0139262119982861,0.03590100580963369,9.520241978947754e-11,0.5751067647801507,62.5,30.0,27.500000000000004,72.5,22.499999999999996,44.875
